index_type,documents,runtime_seconds,source
bert_faiss,220015,722.3380696773529,bert/CS242_BERT_Indexing.ipynb
elasticsearch_sparse,220015,1333.05,a2_index/reports/index_report_tmdb_s3_20260304.json
